time_start,time_end,estimated,amount_usd,service,tag_aws_parallelcluster_clustername,tag_aws_parallelcluster_clustername_value
2026-04-01,2026-05-01,False,0.293615275,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,0.12390139,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.16602917,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.342881945,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,1.731422225,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.914986115,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,0.24238195,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.50376944,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.88500556,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.011325,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,1.16574028,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.599998615,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.51319861,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.109247225,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.11168889,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.66479167,Amazon Virtual Private Cloud,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,4.8825031081,AmazonCloudWatch,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-04-01,2026-05-01,False,0.0,CloudWatch Events,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,0.0,Tax,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,0.0,AWS Certificate Manager,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,0.0,AWS CloudFormation,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,32.533505,AWS CloudTrail,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,60.8757636451,AWS Cost Explorer,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,0.0,AWS Glue,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,2.934997566,AWS Key Management Service,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,6.3428e-06,AWS Lambda,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$XL-pilot,XL-pilot
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$XLpilot,XLpilot
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$and-again,and-again
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$at-sanity,at-sanity
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$blahab44,blahab44
