time_start,time_end,estimated,amount_usd,service,tag_lsmc_project,tag_lsmc_project_value
2026-06-01,2026-06-19,True,0.0011799277,AWS Secrets Manager,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-06-01,2026-06-19,True,0.2347144632,AWS Secrets Manager,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-06-01,2026-06-19,True,0.4693089264,AWS Secrets Manager,lsmc-project$tapdb-us-east-1,tapdb-us-east-1
2026-06-01,2026-06-19,True,0.4692789264,AWS Secrets Manager,lsmc-project$tapdb-us-west-2,tapdb-us-west-2
2026-06-01,2026-06-19,True,198.7730404691,AWS Security Hub,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,AWS Service Catalog,lsmc-project$,
2026-06-01,2026-06-19,True,1.281e-06,AWS Step Functions,lsmc-project$,
2026-06-01,2026-06-19,True,614.906181015,AWS Support (Developer),lsmc-project$,
2026-06-01,2026-06-19,True,4.1027778106,AWS WAF,lsmc-project$,
2026-06-01,2026-06-19,True,3.4e-09,Amazon CloudFront,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,Amazon Cognito,lsmc-project$,
2026-06-01,2026-06-19,True,0.0197639272,Amazon DynamoDB,lsmc-project$,
2026-06-01,2026-06-19,True,0.0,Amazon DynamoDB,lsmc-project$zebra-day+us-west-2,zebra-day+us-west-2
2026-06-01,2026-06-19,True,3.5944261358,Amazon EC2 Container Registry (ECR),lsmc-project$,
2026-06-01,2026-06-19,True,537.9780104991,EC2 - Other,lsmc-project$,
2026-06-01,2026-06-19,True,0.00815164,EC2 - Other,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
2026-06-01,2026-06-19,True,19.0246393728,EC2 - Other,lsmc-project$dayhoff+us-west-2,dayhoff+us-west-2
2026-06-01,2026-06-19,True,0.0287096031,EC2 - Other,lsmc-project$dayhoff-day,dayhoff-day
2026-06-01,2026-06-19,True,0.0011240906,EC2 - Other,lsmc-project$dayhoff-ddev96,dayhoff-ddev96
2026-06-01,2026-06-19,True,0.0135425207,EC2 - Other,lsmc-project$dayhoff-dev,dayhoff-dev
2026-06-01,2026-06-19,True,0.0038920173,EC2 - Other,lsmc-project$dayhoff-inf,dayhoff-inf
2026-06-01,2026-06-19,True,0.0101857671,EC2 - Other,lsmc-project$dayhoff-jemdev,dayhoff-jemdev
2026-06-01,2026-06-19,True,0.084785024,EC2 - Other,lsmc-project$dayhoff-jemdev2,dayhoff-jemdev2
2026-06-01,2026-06-19,True,0.4892264255,EC2 - Other,lsmc-project$dayhoff-jemdev3,dayhoff-jemdev3
2026-06-01,2026-06-19,True,0.7174391194,EC2 - Other,lsmc-project$dayhoff-jemdev5,dayhoff-jemdev5
2026-06-01,2026-06-19,True,0.077868275,EC2 - Other,lsmc-project$dayhoff-joshdev,dayhoff-joshdev
2026-06-01,2026-06-19,True,0.0015969062,EC2 - Other,lsmc-project$dayhoff-tailnet-dns,dayhoff-tailnet-dns
2026-06-01,2026-06-19,True,11102.0053771946,Amazon Elastic Compute Cloud - Compute,lsmc-project$,
2026-06-01,2026-06-19,True,90.5617132262,Amazon Elastic Compute Cloud - Compute,lsmc-project$dayhoff+us-east-1,dayhoff+us-east-1
