time_start,time_end,estimated,amount_usd,service,tag_aws_parallelcluster_project,tag_aws_parallelcluster_project_value
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$test-del-me,test-del-me
2026-04-01,2026-05-01,False,0.0,CloudWatch Events,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0,Tax,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,0.0,AWS Certificate Manager,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,0.0,AWS CloudFormation,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,32.533505,AWS CloudTrail,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,60.8757636451,AWS Cost Explorer,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,0.0,AWS Glue,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,2.934997566,AWS Key Management Service,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,6.3428e-06,AWS Lambda,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$XL-pilot,XL-pilot
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$XLpilot,XLpilot
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$and-again,and-again
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$at-sanity,at-sanity
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$blahab44,blahab44
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$bucketsamok,bucketsamok
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$daylily-demo-cluster,daylily-demo-cluster
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-05-01,2026-06-01,False,0.0,AWS Lambda,aws-parallelcluster-project$dra-enabled,dra-enabled
